word,aqua #00ffff,black #000000,blue #0000ff,brown #A52A2A,fuchsia #ff00ff,gold #ffd700,gray #808080,green #008000,lime #00ff00,maroon #800000,navy #000080,olive #808000,orange #ffa500,purple #800080,red #ff0000,silver #c0c0c0,teal #008080,white #ffffff,yellow #ffff00,Total Votes
clean,12.788190413004,1.8245148449162,3.0187427434069,0.43124896334384,1.2605738928512,0.92884392104827,1.4098523801625,1.3932658815724,2.6206667772433,0.49759495770443,0.96201691822856,0.3151434732128,0.87908442527782,0.91225742245812,1.0781224083596,2.023552827998,1.0781224083596,64.189749543871,2.3884557969813,6029
cold,30.557467309016,2.5120440467997,14.45285615967,0.51617343427392,0.79146593255334,0.82587749483827,5.1961459050241,0.73984858912595,0.63661390227116,0.6194081211287,11.562284927736,0.39573296627667,1.0495526496903,1.1355815554026,1.6517549896765,7.2092222986924,7.1403991741225,12.370956641432,0.63661390227116,5812
colonial,1.4635931211123,3.9699963410172,6.2202707647274,9.0193926088547,1.4087083790706,3.4028540065862,5.4152945481156,6.3849249908525,1.2806439809733,9.549945115258,9.8243688254665,11.361141602634,6.4398097328943,2.6893523600439,6.0373216245884,3.1833150384193,4.6469081595316,6.0007317965606,1.7014270032931,5466
comfort,5.7529610829103,2.1996615905245,6.3089195068891,5.7287889775199,3.1423737007493,6.2364031907179,3.0215131737974,8.91950688905,2.2963500120861,5.5595842397873,5.8013052936911,2.8281363306744,8.6536137297559,5.5354121343969,2.1513173797438,3.0456852791878,12.811215856901,7.3483200386754,2.6589315929417,4137
commerce,2.0504201680672,3.8319327731092,9.8151260504202,2.3865546218487,2.4201680672269,3.8655462184874,6.218487394958,23.563025210084,5.781512605042,2.453781512605,9.2773109243697,2.5882352941176,4.2689075630252,2.3865546218487,6.5210084033613,3.0924369747899,3.4957983193277,1.781512605042,4.2016806722689,2975
compelling,3.5858359480054,6.7234424025101,7.978484984312,3.5410129986553,5.1098162259077,3.8547736441058,2.7341999103541,3.9444195428059,5.0201703272075,6.5441506051098,6.8579112505603,1.5688032272524,5.5580457194083,7.4854325414612,16.987897803675,1.344688480502,5.0649932765576,1.5688032272524,4.5271178843568,2231
competent,2.836230558097,4.391582799634,13.906678865508,3.8426349496798,1.7383348581885,3.3851784080512,6.0384263494968,6.5873741994511,2.6532479414456,4.0256175663312,17.108874656908,2.4702653247941,6.0384263494968,2.6532479414456,4.6660567246112,5.1235132662397,6.7703568161025,3.4766697163769,2.2872827081427,1093
confident,2.9209148525765,7.1369523284651,10.856985395426,2.6729126481124,4.9600440892808,2.5902452466244,3.1689170570405,4.5742628823367,3.7475888674566,4.4915954808487,11.132543400386,1.0746762193442,3.8302562689446,4.1058142739047,18.269495728851,1.1573436208322,3.0862496555525,2.7555800496004,7.4676219344172,3629
consequence,2.1847690387016,12.172284644195,3.9950062421973,5.8052434456929,2.5905118601748,2.1847690387016,8.6766541822722,4.6192259675406,2.3408239700375,7.7403245942572,4.7128589263421,3.1835205992509,5.1810237203496,4.1510611735331,16.479400749064,3.9637952559301,4.6816479400749,2.4032459425718,2.9338327091136,3204
conservative,1.837591879594,11.550577528876,6.1603080154008,3.8326916345817,1.3125656282814,1.0675533776689,18.498424921246,3.3951697584879,1.3825691284564,5.5302765138257,15.033251662583,4.5327266363318,1.7500875043752,1.5225761288064,6.0378018900945,7.1578578928946,3.7276863843192,4.6552327616381,1.0150507525376,5714
